Group,Rank,Team,MP,W,D,L,GF,GA,GD,Pts,Last5
A,1,Mexico,3,3,0,0,6,0,6,9,Win Win Win
A,2,South Africa,3,1,1,1,2,3,-1,4,Loss Draw Win
A,3,South Korea,3,1,0,2,2,3,-1,3,Win Loss Loss
A,4,Czechia,3,0,1,2,2,6,-4,1,Loss Draw Loss
B,1,Switzerland,3,2,1,0,7,3,4,7,Draw Win Win
B,2,Canada,3,1,1,1,8,3,5,4,Draw Win Loss
B,3,Bosnia and Herzegovina,3,1,1,1,5,6,-1,4,Draw Loss Win
B,4,Qatar,3,0,1,2,2,10,-8,1,Draw Loss Loss
C,1,Brazil,3,2,1,0,7,1,6,7,Draw Win Win
C,2,Morocco,3,2,1,0,6,3,3,7,Draw Win Win
C,3,Scotland,3,1,0,2,1,4,-3,3,Win Loss Loss
C,4,Haiti,3,0,0,3,2,8,-6,0,Loss Loss Loss
D,1,United States,3,2,0,1,8,4,4,6,Win Win Loss
D,2,Australia,3,1,1,1,2,2,0,4,Win Loss Draw
D,3,Paraguay,3,1,1,1,2,4,-2,4,Loss Win Draw
D,4,Turkey,3,1,0,2,3,5,-2,3,Loss Loss Win
E,1,Germany,3,2,0,1,10,4,6,6,Win Win Loss
E,2,Ivory Coast,3,2,0,1,4,2,2,6,Win Loss Win
E,3,Ecuador,3,1,1,1,2,2,0,4,Loss Draw Win
E,4,Curaçao,3,0,1,2,1,9,-8,1,Loss Draw Loss
F,1,Netherlands,3,2,1,0,10,4,6,7,Draw Win Win
F,2,Japan,3,1,2,0,7,3,4,5,Draw Win Draw
F,3,Sweden,3,1,1,1,7,7,0,4,Win Loss Draw
F,4,Tunisia,3,0,0,3,2,12,-10,0,Loss Loss Loss
G,1,Belgium,3,1,2,0,6,2,4,5,Draw Draw Win
G,2,Egypt,3,1,2,0,5,3,2,5,Draw Win Draw
G,3,Iran,3,0,3,0,3,3,0,3,Draw Draw Draw
G,4,New Zealand,3,0,1,2,4,10,-6,1,Draw Loss Loss
H,1,Spain,3,2,1,0,5,0,5,7,Draw Win Win
H,2,Cape Verde,3,0,3,0,2,2,0,3,Draw Draw Draw
H,3,Uruguay,3,0,2,1,3,4,-1,2,Draw Draw Loss
H,4,Saudi Arabia,3,0,2,1,1,5,-4,2,Draw Loss Draw
I,1,France,3,3,0,0,10,2,8,9,Win Win Win
I,2,Norway,3,2,0,1,8,7,1,6,Win Win Loss
I,3,Senegal,3,1,0,2,8,6,2,3,Loss Loss Win
I,4,Iraq,3,0,0,3,1,12,-11,0,Loss Loss Loss
J,1,Argentina,3,3,0,0,8,1,7,9,Win Win Win
J,2,Austria,3,1,1,1,6,6,0,4,Win Loss Draw
J,3,Algeria,3,1,1,1,5,7,-2,4,Loss Win Draw
J,4,Jordan,3,0,0,3,3,8,-5,0,Loss Loss Loss
K,1,Colombia,3,2,1,0,4,1,3,7,Win Win Draw
K,2,Portugal,3,1,2,0,6,1,5,5,Draw Win Draw
K,3,DR Congo,3,1,1,1,4,3,1,4,Draw Loss Win
K,4,Uzbekistan,3,0,0,3,2,11,-9,0,Loss Loss Loss
L,1,England,3,2,1,0,6,2,4,7,Win Draw Win
L,2,Croatia,3,2,0,1,5,5,0,6,Loss Win Win
L,3,Ghana,3,1,1,1,2,2,0,4,Win Draw Loss
L,4,Panama,3,0,0,3,0,4,-4,0,Loss Loss Loss